uid,age,gender,occupation,income,sport_interest,sports,ideal_frequency,teammate_shortage,teammate_pain_points,new_player_openness,trust_factors,current_finding_methods,current_finding_pains,booking_need,current_booking_methods,booking_pains,switching_triggers,expected_frequency_lift,willingness_to_pay,paid_features,open_motivation,new_player_openness_num,high_openness_to_new_players,teammate_shortage_score,ideal_frequency_score,booking_need_score,wtp_score,expected_frequency_lift_score,sport_interest_score,pain_count_teammate,pain_count_booking,early_adopter_candidate,student_young_segment,has_wtp_signal,strong_wtp
UID-001,18–22,Không muốn trả lời,Học sinh/Sinh viên,Không tiện đề cập,"Có, thỉnh thoảng","Bóng bàn, Bida",Khi có người rủ,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng trình độ, Khó tìm người cùng lịch rảnh, Không biết tìm người chơi ở đâu, Ngại chơi với người lạ, Người chơi hay hủy kèo",5.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Có nhóm chat trước buổi chơi","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Cộng đồng trường học/công ty",Không biết ai đang rảnh,Thỉnh thoảng,Đến trực tiếp sân,"Không biết sân/địa điểm nào còn trống, Không rõ giá, Không rõ chất lượng sân/địa điểm","Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Ghép người chơi theo trình độ, Ghép người chơi theo lịch rảnh, Có đánh giá người chơi và sân/địa điểm, Có xác minh tài khoản, Có thể chia tiền sân trong app, Có cộng đồng/giải phong trào hoạt động thường xuyên, Giao diện đơn giản, dễ dùng",Có thể,"Có thể, nếu app thật sự có nhiều người dùng",Phí đặt sân/địa điểm tiện lợi,Có bạn/người chơi cùng,5.0,True,2.0,1.0,2.0,1.0,1.0,2,7,3,True,True,True,False
UID-002,18–22,Không muốn trả lời,Học sinh/Sinh viên,Dưới 2.000.000 VND,"Có, thường xuyên","Cầu lông, Bóng chuyền, Bơi lội, Gym/Fitness theo nhóm",1–2 lần/tuần,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng trình độ, Khó tìm người cùng lịch rảnh, Người chơi hay hủy kèo",5.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Có xác minh tài khoản/số điện thoại, Biết trước trình độ chơi, Biết trước lịch sử tham gia trận/hoạt động, Có nhóm chat trước buổi chơi","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Nhóm Facebook, Cộng đồng trường học/công ty","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Không biết trình độ người chơi, Khó tìm người gần mình, Dễ bị hủy kèo vào phút cuối",Thỉnh thoảng,"Nhắn Zalo/Facebook cho sân, Đặt qua app/website, Nhờ bạn bè đặt, Đến trực tiếp sân","Không biết sân/địa điểm nào còn trống, Phải gọi/nhắn nhiều nơi, Không rõ giá, Không rõ chất lượng sân/địa điểm, Không có đánh giá từ người chơi trước, Dễ bị trùng lịch hoặc hết chỗ, Khó đổi/hủy lịch, Khó chia tiền với người chơi khác","Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Ghép người chơi theo trình độ, Ghép người chơi theo lịch rảnh, Có đánh giá người chơi và sân/địa điểm, Có xác minh tài khoản, Có thể chia tiền sân trong app, Có cộng đồng/giải phong trào hoạt động thường xuyên, Giao diện đơn giản, dễ dùng","Có, chắc chắn",Có,"Phí đặt sân/địa điểm tiện lợi, Phí tham gia trận/nhóm chơi",,5.0,True,2.0,2.0,2.0,2.0,2.0,3,5,8,True,True,True,True
UID-003,18–22,Không muốn trả lời,Học sinh/Sinh viên,Dưới 2.000.000 VND,Trước đây có chơi nhưng hiện tại ít chơi,Cầu lông,Khi có người rủ,Hiếm khi,Bạn bè/người quen không rảnh,1.0,Hồ sơ người chơi rõ ràng,Rủ bạn bè/người quen trực tiếp,Phải nhắn nhiều nơi mới đủ người,Thỉnh thoảng,Gọi điện trực tiếp cho sân,"Không biết sân/địa điểm nào còn trống, Phải gọi/nhắn nhiều nơi","Biết trước lịch trống và giá sân, Giao diện đơn giản, dễ dùng",Có thể,Không,Phí tham gia trận/nhóm chơi,,1.0,False,1.0,1.0,2.0,0.0,1.0,1,1,2,False,True,False,False
UID-004,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,"Có, thường xuyên","Cầu lông, Bóng đá, Bóng chuyền",3 lần/tuần trở lên,Rất thường xuyên,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng trình độ",4.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Có xác minh tài khoản/số điện thoại",Rủ bạn bè/người quen trực tiếp,"Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Không biết trình độ người chơi",Thường xuyên,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân, Nhờ bạn bè đặt","Không biết sân/địa điểm nào còn trống, Phải gọi/nhắn nhiều nơi, Không rõ giá","Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân","Có, chắc chắn","Có thể, nếu giá hợp lý","Phí đặt sân/địa điểm tiện lợi, Phí tham gia trận/nhóm chơi, Gói premium để được ghép người phù hợp hơn",,4.0,True,3.0,3.0,3.0,1.0,2.0,3,3,3,True,True,True,False
UID-005,18–22,Nam,Học sinh/Sinh viên,Từ 2.000.000 - Dưới 5.000.000,"Có, thường xuyên","Cầu lông, Bơi lội, Bida",1–2 lần/tuần,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng trình độ, Khó tìm người cùng lịch rảnh, Ngại chơi với người lạ, Người chơi hay hủy kèo",4.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Có xác minh tài khoản/số điện thoại, Biết trước trình độ chơi, Biết trước lịch sử tham gia trận/hoạt động, Có nhóm chat trước buổi chơi, Có cơ chế báo cáo người chơi không phù hợp",Rủ bạn bè/người quen trực tiếp,"Không biết ai đang rảnh, Dễ bị hủy kèo vào phút cuối",Thỉnh thoảng,"Nhắn Zalo/Facebook cho sân, Nhờ bạn bè đặt, Đến trực tiếp sân","Không biết sân/địa điểm nào còn trống, Không rõ giá, Không rõ chất lượng sân/địa điểm, Khó đổi/hủy lịch","Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Có đánh giá người chơi và sân/địa điểm, Có xác minh tài khoản","Có, chắc chắn","Có thể, nếu giá hợp lý","Phí đặt sân/địa điểm tiện lợi, Gói premium để được ghép người phù hợp hơn, Phí tham gia giải hoặc sự kiện thể thao",,4.0,True,2.0,2.0,2.0,1.0,2.0,3,6,4,True,True,True,False
UID-006,18–22,Nam,Học sinh/Sinh viên,Từ 2.000.000 - Dưới 5.000.000,"Có, thỉnh thoảng","Cầu lông, Bóng rổ",1–2 lần/tuần,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng trình độ",4.0,"Biết trước trình độ chơi, Có nhóm chat trước buổi chơi","Rủ bạn bè/người quen trực tiếp, Cộng đồng trường học/công ty","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Khó tìm người gần mình",Thỉnh thoảng,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân, Đặt qua app/website","Không biết sân/địa điểm nào còn trống, Không rõ giá, Khó đổi/hủy lịch","Ghép người chơi theo trình độ, Ghép người chơi theo lịch rảnh",Có thể,"Có thể, nếu giá hợp lý",Phí tham gia giải hoặc sự kiện thể thao,"Có bạn/người chơi cùng, Chi phí thấp hơn",4.0,True,2.0,2.0,2.0,1.0,1.0,2,3,3,True,True,True,False
UID-007,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,Trước đây có chơi nhưng hiện tại ít chơi,"Bóng đá, Bóng rổ, Chạy bộ theo nhóm",1–2 lần/tuần,Hiếm khi,"Bạn bè/người quen không rảnh, Khó tìm người cùng lịch rảnh",4.0,"Hồ sơ người chơi rõ ràng, Có xác minh tài khoản/số điện thoại, Có cơ chế báo cáo người chơi không phù hợp",Rủ bạn bè/người quen trực tiếp,"Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Khó tìm người gần mình, Dễ bị hủy kèo vào phút cuối, Không có đánh giá/độ uy tín của người chơi, Ngại chơi với người lạ vì thiếu thông tin, Khó quản lý số lượng người tham gia, Khó chia tiền sân/chi phí",Thỉnh thoảng,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân, Nhờ bạn bè đặt","Không biết sân/địa điểm nào còn trống, Dễ bị trùng lịch hoặc hết chỗ, Khó đổi/hủy lịch, Khó chia tiền với người chơi khác","Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Ghép người chơi theo lịch rảnh, Có đánh giá người chơi và sân/địa điểm, Có xác minh tài khoản, Có thể chia tiền sân trong app",Có thể,"Có thể, nếu giá hợp lý","Phí đặt sân/địa điểm tiện lợi, Gói premium để được ghép người phù hợp hơn, Phí tham gia giải hoặc sự kiện thể thao","Có bạn/người chơi cùng, Có địa điểm gần và dễ tham gia, Chi phí thấp hơn, Có lịch chơi linh hoạt",4.0,True,1.0,2.0,2.0,1.0,1.0,1,2,4,False,True,True,False
UID-008,18–22,Nam,Học sinh/Sinh viên,Không tiện đề cập,Trước đây có chơi nhưng hiện tại ít chơi,Bóng chuyền,1–2 lần/tuần,Rất thường xuyên,"Bạn bè/người quen không rảnh, ko có bóng hay sân",2.0,Biết trước lịch sử tham gia trận/hoạt động,"Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Không chủ động tìm, chỉ chơi khi có người rủ","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh",Thỉnh thoảng,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân, Nhờ bạn bè đặt, Đến trực tiếp sân","Không biết sân/địa điểm nào còn trống, Phải gọi/nhắn nhiều nơi, Không có một nơi tổng hợp nhiều sân/môn thể thao",Có nhiều người chơi thật,Không chắc,Không,"Phí tham gia trận/nhóm chơi, quản lý clb hoặc nhóm người hoạt động thường xuyên","Có nhóm phù hợp cho người mới, Có địa điểm gần và dễ tham gia, Chi phí thấp hơn, Có lịch chơi linh hoạt",2.0,False,3.0,2.0,2.0,0.0,0.0,1,2,3,False,True,False,False
UID-009,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,"Có, thường xuyên","Cầu lông, Bóng đá, Bóng chuyền, Bóng bàn",3 lần/tuần trở lên,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng lịch rảnh, Không biết tìm người chơi ở đâu, Ngại chơi với người lạ, Người chơi hay hủy kèo",5.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Biết trước trình độ chơi","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh",Thường xuyên,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân","Phải gọi/nhắn nhiều nơi, Không rõ chất lượng sân/địa điểm","Có nhiều người chơi thật, Biết trước lịch trống và giá sân, Ghép người chơi theo lịch rảnh","Có, chắc chắn","Có thể, nếu giá hợp lý",Phí đặt sân/địa điểm tiện lợi,"Có bạn/người chơi cùng, Có nhóm phù hợp cho người mới, Có địa điểm gần và dễ tham gia, Chi phí thấp hơn",5.0,True,2.0,3.0,3.0,1.0,2.0,3,6,2,True,True,True,False
UID-010,18–22,Nam,Học sinh/Sinh viên,Từ 2.000.000 - Dưới 5.000.000,"Có, thường xuyên","Cầu lông, Bóng đá, Bóng chuyền, Bida",1–2 lần/tuần,Rất thường xuyên,"Không đủ số lượng người để chơi, Khó tìm người cùng trình độ, Khó tìm người cùng lịch rảnh",5.0,Hồ sơ người chơi rõ ràng,"Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Nhóm Facebook, Cộng đồng trường học/công ty, Hỏi chủ sân/người quen ở sân","Không biết trình độ người chơi, Khó tìm người gần mình",Thỉnh thoảng,"Nhờ bạn bè đặt, Đến trực tiếp sân, Hỏi trong nhóm cộng đồng","Không biết sân/địa điểm nào còn trống, Dễ bị trùng lịch hoặc hết chỗ","Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Ghép người chơi theo trình độ, Ghép người chơi theo lịch rảnh, Có đánh giá người chơi và sân/địa điểm, Có xác minh tài khoản, Có thể chia tiền sân trong app, Có cộng đồng/giải phong trào hoạt động thường xuyên, Giao diện đơn giản, dễ dùng","Có, chắc chắn",Có,Phí đặt sân/địa điểm tiện lợi,"Có bạn/người chơi cùng, Có nhóm phù hợp cho người mới, Có địa điểm gần và dễ tham gia, Chi phí thấp hơn, Có người hướng dẫn, Có lịch chơi linh hoạt",5.0,True,3.0,2.0,2.0,2.0,2.0,3,3,2,True,True,True,True
